,controls,in WT data (2018-12),unprimed (order is random),is this a paralog?,other name,PRIMED PARALOG,GENES TO ANALYZE,,,,,
primer number,,,(58 total),,,,YAL003W,,,,,
34,YAL003W,y,YBL091C-A,,,,YBL040C,,,,,
18,YAL012W,,YBL111C,,,,YBL050W,,,,,
38,YBL040C,y,YBR048W,yes,RPS11B,YDR025W,YBR078W,,Genes we primed,reads,unprimed paralogs,reads
22,YBL050W,y,YBR090C,,,,YBR082C,,YDR025W,76671,YBR048W,66
41,YBL087C,y,YBR181C,,,,YBR189W,,YJL191W,60260,YCR031C,27
24,YBR078W,y,YCR031C,yes,RPS14A,YJL191W,YBR230C,,YBL087C,67858,YER117W,392
45,YBR082C,y,YDL075W,yes,RPL31A,,YCR028C-A,,YFR031C-A,58044,YIL018W,12
19,YBR152W,,YDL082W,,,,YDL012C,,YGR214W,30779,YLR048W,752
53,YBR189W,y,YDL083C,yes,RPS16B,,YDL029W,,,,,
56,YBR230C,y,YDR397C,,,,YDL064W,,,,,
60,YCR028C-A,y,YDR447C,yes,RPS17B,YML024W,YDL125C,,,,,
62,YDL012C,y,YER056C-A,yes,RPL34A,,YDL130W,,,,,
63,YDL029W,y,YER117W,yes,RPL23B,YBL087C,YDL136W,,,,,
30,YDL064W,y,YGL103W,,,,YDL191W,,,,,
70,YDL125C,y,YGR027C,yes,RPS25A,,YDL219W,,,,,
71,YDL130W,y,YGR029W,,,,YDR005C,,,,,
72,YDL136W,y,YGR034W,yes,RPL26B,,YDR059C,,,,,
75,YDL191W,y,YGR118W,yes,RPS23A,,YDR064W,,,,,
76,YDL219W,y,YHR001W,,,,YDR092W,,,,,
77,YDR005C,y,YHR010W,yes,RPL27A,,YDR129C,,,,,
78,YDR025W,y,YHR016C,yes,YSC84,,YDR139C,,,,,
15,YDR059C,y,YHR097C,,,,YDR381W,,,,,
79,YDR064W,y,YHR203C,,,,YER003C,,,,,
80,YDR092W,y,YHR218W,,,,YER093C-A,,,,,
82,YDR129C,y,YIL018W,yes,RPL2B,YFR031C-A,YER133W,,,,,
83,YDR139C,y,YIL148W,,,,YFL039C,,,,,
29,YDR381W,y,YJL177W,yes,RPL17B,,YGL030W,,,,,
95,YER003C,y,YJL189W,,,,YGL137W,,,,,
101,YER093C-A,y,YJR021C,,,,YGR183C,,,,,
104,YER133W,y,YJR145C,,,,YHR001W-A,,,,,
109,YFL039C,y,YKR005C,,,,YHR021C,,,,,
111,YFR031C-A,y,YKR057W,,,,YHR077C,,,,,
114,YGL030W,y,YLL066C,,,,YHR101C,,,,,
120,YGL137W,y,YLL067C,,,,YJL001W,,,,,
130,YGR183C,y,YLR048W,yes,RPS0B,YGR214W,YJL041W,,,,,
131,YGR214W,y,YLR061W,yes,RPL22A,,YKR095W-A,,,,,
135,YHR001W-A,y,YML026C,yes,RPS18B,,YLR093C,,,,,
138,YHR021C,y,YML067C,,,,YML056C,,,,,
141,YHR077C,y,YML073C,yes,RPL6A,,YMR033W,,,,,
3,YHR101C,y,YML133C,,,,YMR079W,,,,,
27,YJL001W,y,YMR116C,,,,YMR194C-B,,,,,
158,YJL041W,y,YMR143W,,,,YMR225C,,,,,
163,YJL191W,y,YMR194W,,,,YMR242C,,,,,
8,YKR095W-A,y,YMR230W,yes,RPS10B,,YNL112W,,,,,
185,YLR093C,y,YNL004W,,,,YNL265C,,,,,
202,YML024W,y,YNL038W,,,,YNL312W,,,,,
207,YML056C,y,YNL044W,,,,YNR053C,,,,,
25,YMR033W,y,YNL069C,yes,RPL16B,,YPL081W,,,,,
213,YMR079W,y,YNL301C,,,,YPL218W,,,,,
217,YMR194C-B,y,YNL302C,,,,YPR028W,,,,,
219,YMR225C,y,YOL121C,,,,YPR063C,,,,,
221,YMR242C,y,YOR182C,,,,YPR187W,,,,,
28,YNL112W,y,YOR234C,,,,YAL012W,,,,,
16,YNL265C,y,YOR293W,yes,RPS10A,,YOR153W,,,,,
236,YNL312W,y,YPL079W,,,,YBR152W,,,,,
237,YNR053C,y,YPL143W,yes,RPL33A,,,,,,,
898,YOR153W,,YPL249C-A,,,,,,,,,
248,YPL081W,y,YPR043W,yes,RPL43A,,,,,,,
255,YPL218W,y,,,,,,,,,,
31,YPR028W,y,,,,,,,,,,
260,YPR063C,y,,,,,,,,,,
263,YPR187W,y,,,,,,,,,,
